Quel est l'objectif principal du raisonnement par récurrence ?,Démontrer qu'une propriété $P(n)$ est vraie pour tout entier $n \ge n_0$.
Nommez les trois étapes rigoureuses de la rédaction d'une récurrence.,"Initialisation, Hérédité, et Conclusion."
En quoi consiste l'étape d'initialisation dans un raisonnement par récurrence ?,Vérifier que la propriété est vraie au premier rang $n_0$.
Quelle est l'hypothèse de récurrence posée lors de l'étape d'hérédité ?,On suppose que la propriété $P(k)$ est vraie pour un certain entier $k \ge n_0$.
Quel est le but de l'étape d'hérédité ?,"Prouver que si $P(k)$ est vraie, alors la propriété est vraie au rang suivant $P(k+1)$."
Que doit-on affirmer dans la conclusion d'une démonstration par récurrence ?,"La propriété est initialisée et héréditaire, donc elle est vraie pour tout $n \ge n_0$."
Complétez la formule de la somme des $n$ premiers entiers : $1 + 2 + \dots + n = \dots$,$\frac{n(n+1)}{2}$
"Pour la suite $S_n = \sum_{i=1}^{n} i$, quelle est la valeur de $S_1$ lors de l'initialisation ?",1
"Dans l'hérédité de la somme des entiers, comment exprime-t-on $S_{k+1}$ en fonction de $S_k$ ?",$S_{k+1} = S_k + (k+1)$
Définition : Limite $+\infty$ d'une suite $(u_n)$,"Tout intervalle $]A, +\infty[$ contient tous les termes de la suite à partir d'un certain rang."
Définition : Limite $-\infty$ d'une suite $(u_n)$,"Tout intervalle $]-\infty, B[$ contient tous les termes de la suite à partir d'un certain rang."
Quand dit-on qu'une suite $(u_n)$ est convergente vers un réel $L$ ?,Si tout intervalle ouvert contenant $L$ contient tous les termes de la suite à partir d'un certain rang.
Comment appelle-t-on une suite qui ne possède pas de limite finie ?,Une suite divergente.
Quelle est la limite de la suite géométrique $(q^n)$ si $q > 1$ ?,$+\infty$
Vers quelle valeur converge la suite $(q^n)$ si $-1 < q < 1$ ?,0
Quelle est la limite de la suite géométrique $(q^n)$ si $q = 1$ ?,1
Sous quelle condition de $q$ la suite géométrique $(q^n)$ n'admet-elle pas de limite ?,$q \le -1$
Énoncez les conditions d'encadrement du Théorème des Gendarmes à partir d'un certain rang.,$u_n \le v_n \le w_n$
"Si $u_n \le v_n \le w_n$ et $\lim_{n \to +\infty} u_n = \lim_{n \to +\infty} w_n = L$, quelle est la limite de $(v_n)$ ?",$L$
"Théorème de comparaison : Si $u_n \le v_n$ et $\lim_{n \to +\infty} u_n = +\infty$, que peut-on dire de $(v_n)$ ?",$\lim_{n \to +\infty} v_n = +\infty$
"Théorème de comparaison : Si $u_n \le v_n$ et $\lim_{n \to +\infty} v_n = -\infty$, que peut-on dire de $(u_n)$ ?",$\lim_{n \to +\infty} u_n = -\infty$
Définition : Suite majorée,"Il existe un réel $M$ tel que pour tout $n \in \mathbb{N}$, $u_n \le M$."
Définition : Suite minorée,"Il existe un réel $m$ tel que pour tout $n \in \mathbb{N}$, $u_n \ge m$."
Qu'est-ce qu'une suite bornée ?,Une suite qui est à la fois majorée et minorée.
Que stipule le théorème de convergence monotone pour une suite croissante ?,Toute suite croissante et majorée est convergente.
Que stipule le théorème de convergence monotone pour une suite décroissante ?,Toute suite décroissante et minorée est convergente.
Quelle méthode graphique permet d'étudier la convergence d'une suite $u_{n+1} = f(u_n)$ ?,La méthode de la toile d'araignée (cobweb plot).
